Plant Type,Family,Common Name,Genus,Organism,OTU,Sequences,Pairwise Identity,BLH,Query,BarCode,Time Period,Date,Region,Site,Host Plant,Sex,BLTVA,BCTV,S citri,Notes
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,44,2,96.80%,39,bc1146--bc1190,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,F,1,1,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,35,24,94.90%,137,bc1152--bc1154,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,260,561,96.90%,153,bc1152--bc1155,ITS,Late May,2020-05-25,Paterson,H,Russian thistle,F,1,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,994,344,96.70%,182,bc1152--bc1189,ITS,Late May,2020-05-27,Pasco,N,Tumble mustard,F,1,1,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,118,2,97.20%,227,bc1153--bc1189,ITS,Early June,2020-06-03,Moxee,A,Russian thistle,F,0,0,1,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,14,7,96.90%,16,bc1150--bc1173,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,0,0,0,
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,31,9,96.70%,17,bc1150--bc1154,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,1,1,0,Extracted by Gina
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,1,5,97.20%,22,bc1150--bc1189,ITS,Late May,2020-05-18,Moxee,A,Tumble mustard,,0,0,0,Extracted by Gina
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,11,8,97.10%,46,bc1146--bc1173,ITS,Late May,2020-05-18,Mattawa,B,Flixweed/Pinnate tansymustard,,1,0,0,RADseq
Mustard,Brassicaceae,Ethiopian rape/mustard,Brassica,Brassica carinata,999,1107,97.20%,84,bc1146--bc1155,ITS,Late May,2020-05-18,Mattawa,B,Russian thistle,,1,1,0,
Mustard,Brassicaceae,Chinese kale,Brassica,Brassica oleracea,6,6,100.00%,481,bc1109--bc1144,trnF,Late June,2020-06-17,Othello,F,Russian thistle,F,0,1,0,RADseq
Mustard,Brassicaceae,Chinese kale,Brassica,Brassica oleracea,8,5,100.00%,644,bc1143--bc1176,trnF,Early August,2020-08-12,Moxee,A,Russian thistle,F,0,0,0,RADseq
Mustard,Brassicaceae,Chinese kale,Brassica,Brassica oleracea,4,9,100.00%,17,bc1150--bc1154,ITS,Early May,2020-05-13,Paterson,H,Russian thistle,,1,1,0,Extracted by Gina
Grass,Poaceae,Bromus sterilis,Bromus,Bromus sterilis,23,111,100.00%,19,bc1105--bc1109,trnF,Late May,2020-05-18,Moxee,A,Tumble mustard,F,0,0,0,RADseq
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,3,13,98.70%,18,bc1150--bc1155,ITS,Late May,2020-05-18,Moxee,A,Flixweed,F,0,0,0,
Grass,Poaceae,Cheatgrass,Bromus,Bromus tectorum,2390,1282,98.70%,19,bc1140--bc1150,ITS,Late May,2020-05-18,Moxee,A,Tumble mustard,F,0,0,0,RADseq
